id,test,purchase,site,impressions,income,gender,gamer
32249,1,0,site1,113,70,1,0
43061,1,0,site1,0,70,1,0
22775,1,0,site1,134,40,1,0
14192,1,0,site1,360,50,1,0
21272,1,0,site1,14,50,1,0
22258,0,0,site1,2,70,0,1
60132,1,0,site1,7,70,1,1
14485,1,0,site1,0,60,0,0
9481,1,1,site1,10,90,1,0
55416,1,1,site1,52,90,0,0
18542,0,0,site1,0,50,1,0
46987,1,0,site1,39,60,0,1
27874,0,0,site1,4,70,0,0
14530,0,0,site1,40,70,0,0
17968,1,0,site1,29,60,0,0
37860,1,0,site1,60,40,0,0
16730,1,0,site1,3,60,1,0
11146,1,0,site1,172,60,0,0
34334,1,0,site1,3,50,1,0
37895,1,0,site1,33,50,0,0
30799,1,0,site1,302,60,0,0
32373,1,0,site1,74,70,1,0
14621,1,0,site1,346,70,1,0
58001,1,0,site1,152,70,1,0
14655,1,0,site1,238,60,1,1
55631,1,0,site1,3,30,1,0
14670,0,0,site1,0,50,1,0
35561,1,0,site1,8,60,1,0
43660,0,0,site1,0,50,1,0
58325,1,0,site1,11,60,1,0
14706,1,0,site1,8,60,0,0
60616,1,0,site1,99,70,1,0
40223,1,1,site1,0,60,1,1
37866,1,0,site1,22,60,1,1
14738,0,0,site1,134,70,1,0
61605,1,0,site1,13,70,1,0
34387,0,0,site1,80,70,1,1
14756,1,1,site1,1,50,1,0
14766,0,0,site1,67,60,1,1
57388,1,0,site1,15,60,1,0
57469,1,0,site1,0,80,0,0
47232,1,0,site1,43,60,1,1
47559,1,0,site1,92,80,1,0
15390,1,0,site1,35,80,1,0
13008,1,0,site1,55,50,0,0
38735,0,0,site1,31,50,1,0
48076,0,0,site1,0,70,0,0
12071,0,0,site1,0,70,0,0
56745,1,0,site1,10,90,1,1
14841,1,0,site1,102,40,0,0
34942,1,0,site1,6,70,0,0
60768,0,0,site1,28,70,1,1
14872,1,0,site1,2,70,1,0
22394,1,0,site1,155,50,1,1
6587,1,0,site1,0,90,0,0
60097,0,0,site1,2,50,1,0
26839,0,0,site1,87,50,1,0
37693,0,0,site1,107,50,1,0
18982,1,0,site1,13,60,1,0
14897,1,0,site1,157,60,1,0
14901,1,0,site1,5,80,0,0
73,1,0,site1,37,70,0,0
8298,1,0,site1,1,60,1,0
52139,1,0,site1,3,50,1,1
60447,1,0,site1,48,80,1,0
31791,1,0,site1,4,60,1,0
17295,0,0,site1,46,80,0,1
14970,1,0,site1,60,70,0,0
37564,1,0,site1,13,80,1,1
61413,1,0,site1,11,50,1,0
14978,0,0,site1,112,60,1,0
405,1,0,site1,1,60,0,1
15000,0,0,site1,6,80,1,0
54503,1,0,site1,12,60,0,1
28104,1,0,site1,24,70,0,0
62453,1,0,site1,222,70,1,0
8801,1,0,site1,0,80,1,0
27704,1,0,site1,35,70,1,0
46534,1,0,site1,52,70,0,1
14172,0,0,site1,0,60,1,0
49751,1,0,site1,39,60,1,0
12147,1,0,site1,0,70,1,0
43672,0,0,site1,77,40,1,0
34781,1,0,site1,74,60,1,0
15123,1,0,site1,28,60,0,0
15124,1,0,site1,83,60,1,0
901,1,0,site1,299,60,1,1
1220,1,0,site1,8,40,1,0
57976,0,0,site1,8,80,1,0
58999,1,0,site1,45,80,1,0
14568,1,0,site1,11,70,1,1
14542,0,0,site1,260,40,1,0
15194,1,0,site1,361,70,1,0
35251,1,0,site1,1,100,0,0
66418,0,0,site1,25,50,0,0
23539,1,0,site1,194,80,1,1
32793,1,0,site1,19,70,1,1
55301,0,0,site1,12,80,0,0
31526,1,0,site1,19,60,1,0
15247,1,1,site1,26,80,0,1
15250,1,0,site1,106,50,1,1
15260,1,0,site1,9,60,1,1
64604,1,0,site1,41,70,1,0
18095,1,0,site1,389,80,1,0
34213,1,0,site1,46,50,1,0
40312,1,0,site1,9,60,1,1
7970,1,0,site1,11,70,0,1
10931,0,0,site1,1,50,0,0
44503,1,0,site1,0,70,1,0
43473,1,0,site1,193,60,1,0
46024,0,0,site1,31,70,1,0
18348,1,1,site1,126,90,1,0
60788,0,1,site1,7,100,0,0
33539,0,0,site1,0,60,0,1
15361,1,0,site1,369,70,1,1
29172,1,0,site1,0,60,1,0
31813,1,0,site1,22,50,1,0
1951,0,0,site1,0,70,0,1
16196,1,0,site1,25,60,1,1
15845,0,0,site1,17,70,1,0
8110,1,0,site1,194,60,1,1
26356,1,0,site1,2,60,1,0
3802,1,0,site1,0,50,1,0
12775,1,0,site1,273,60,1,0
15432,1,0,site1,128,50,1,0
15452,1,0,site1,3,50,1,0
39405,0,0,site1,12,60,1,0
50780,1,0,site1,14,50,0,0
26400,1,1,site1,0,80,1,0
8501,1,0,site1,14,40,1,0
15472,1,0,site1,362,60,0,0
50742,1,0,site1,61,50,1,0
15492,1,0,site1,2,50,0,0
5503,1,0,site1,114,60,0,0
9039,1,0,site1,151,60,0,1
15525,1,0,site1,29,70,0,0
37294,1,0,site1,60,40,1,0
58962,1,0,site1,303,60,1,1
14054,1,0,site1,286,100,0,0
15534,0,0,site1,213,110,0,1
23458,1,0,site1,29,60,0,1
32683,1,0,site1,10,60,0,0
42134,1,0,site1,341,80,1,1
16686,1,0,site1,57,80,1,1
49068,1,0,site1,8,70,1,0
63147,1,1,site1,361,70,0,0
15641,1,0,site1,387,60,1,1
11459,0,0,site1,91,60,1,0
25028,0,0,site1,6,60,0,0
58427,1,0,site1,251,80,1,0
1678,1,0,site1,19,50,0,0
58947,1,0,site1,41,70,1,1
35468,0,0,site1,237,70,1,0
58229,1,0,site1,70,60,1,0
33744,1,0,site1,0,60,1,0
49388,1,0,site1,139,60,1,0
25528,1,0,site1,0,60,0,1
55901,1,0,site1,7,60,0,0
49039,0,0,site1,14,60,0,1
12693,1,0,site1,7,70,1,1
44728,0,0,site1,5,50,0,0
53244,1,0,site1,46,80,1,1
15699,1,0,site1,18,70,1,1
33178,1,0,site1,22,60,1,1
38389,1,1,site1,11,100,1,0
13390,0,0,site1,21,60,1,0
61759,1,0,site1,30,70,1,1
12130,0,0,site1,0,60,1,1
48797,1,0,site1,20,60,1,0
15762,1,0,site1,114,70,0,1
55734,1,0,site1,4,50,1,1
62538,1,0,site1,35,80,1,1
19537,1,0,site1,3,70,1,0
34768,0,0,site1,33,70,1,1
49988,0,0,site1,18,70,1,0
15781,0,0,site1,5,50,0,0
33483,1,0,site1,173,50,1,0
12919,1,1,site1,69,80,0,1
8914,1,0,site1,7,60,1,0
15805,0,0,site1,147,60,0,1
11585,1,0,site1,1,60,1,0
23158,1,0,site1,27,60,1,0
4625,1,0,site1,48,60,0,0
11345,1,0,site1,59,40,0,0
34637,0,0,site1,9,50,1,0
25654,1,0,site1,42,70,1,0
67656,1,0,site1,3,70,0,1
49489,0,0,site1,0,80,1,0
57135,1,0,site1,33,40,1,0
15890,1,0,site1,123,50,0,1
29806,1,0,site1,8,90,1,0
63902,1,0,site1,40,60,1,0
49232,0,0,site1,27,50,1,0
25035,1,0,site1,60,80,1,1
24404,0,0,site1,146,70,0,1
58103,1,0,site1,22,50,1,0
59660,0,0,site1,18,60,1,0
32632,1,0,site1,10,60,0,0
17035,0,0,site1,71,50,1,0
65852,1,0,site1,2,60,1,1
26846,0,0,site1,21,80,0,1
54772,1,1,site1,6,80,1,1
47854,0,0,site1,2,40,1,0
48621,1,0,site1,0,90,0,0
24723,1,0,site1,336,80,1,0
40797,0,0,site1,60,60,0,0
7896,1,0,site1,39,80,0,0
2558,1,0,site1,3,90,0,0
54800,0,0,site1,132,70,1,1
37451,1,0,site1,20,60,1,0
13903,0,1,site1,112,70,1,1
42560,0,0,site1,108,70,0,0
16076,0,0,site1,2,60,0,1
67029,0,0,site1,8,50,1,0
1229,1,0,site1,10,90,1,0
42524,1,0,site1,29,70,1,1
53647,1,0,site1,0,80,0,0
16103,0,0,site1,34,70,1,1
25293,0,0,site1,365,70,1,0
60151,1,0,site1,0,70,1,1
16131,0,0,site1,253,60,0,0
37367,1,0,site1,6,50,0,0
44858,1,0,site1,352,80,1,0
16153,1,0,site1,2,70,1,0
37710,0,0,site1,0,50,1,0
2131,1,0,site1,0,70,1,1
16202,0,0,site1,0,80,1,0
37114,1,0,site1,16,80,0,0
44511,1,0,site1,260,70,1,0
42469,0,0,site1,36,60,0,1
22857,1,0,site1,148,50,0,1
60282,1,0,site1,110,80,1,1
9215,1,0,site1,76,80,1,0
7161,1,0,site1,12,70,1,1
10152,0,0,site1,20,50,1,0
16328,1,0,site1,9,70,1,0
16342,1,0,site1,0,70,1,1
16350,1,0,site1,387,50,1,0
8128,0,0,site1,41,60,0,0
3489,1,0,site1,249,70,1,0
16371,0,0,site1,1,80,1,1
67297,1,0,site1,4,90,1,0
16374,1,0,site1,0,60,1,1
39279,1,0,site1,0,50,1,0
33471,1,0,site1,114,70,0,0
16401,1,1,site1,83,60,1,1
43710,1,0,site1,95,70,1,0
13545,0,0,site1,2,90,1,0
22387,1,0,site1,0,70,1,0
46078,0,0,site1,13,50,0,0
18024,1,0,site1,25,40,1,0
9862,0,0,site1,22,60,1,1
12885,1,0,site1,3,50,1,1
34968,1,0,site1,2,70,0,1
53058,1,0,site1,110,60,0,0
