Reported Year,Total Dead and Missing,Lon,Lat
2018,24,36.38585817,-2.625576919
2018,1,28.6558304,-100.4806113
2018,1,35.8621015,-3.230474337
2018,20,36.65666574,1.229045427
2018,1,31.7855285,-111.4663925
2018,1,45.12186907,19.21323682
2018,1,28.70236035,-100.5115385
2018,1,36.17464226,-3.809567348
2018,8,37.07483589,8.724048758
2018,1,31.89718908,-106.4391036
2018,1,32.4026649,-111.4275888
2018,1,31.5894922,-111.3633789
2018,1,32.3318032,-112.5245093
2018,1,31.814869,-111.8223285
2018,1,32.057499,-111.6660725
2018,6,19.1125625,-69.3134375
2018,2,32.5382967,-117.0140624
2018,1,29.82761191,-102.5924324
2018,3,40.989655,24.630244
2018,1,27.630474,-99.625893
2018,2,35.55536,-3.233348
2018,1,32.057499,-111.6660725
2018,1,32.66548452,-115.502037
2018,1,26.18245506,-98.37982216
2018,1,27.629882,-99.626826
2018,1,28.337657,-100.308865
2018,1,17.997026,-95.385768
2018,1,31.770748,-106.499407
2018,1,27.427587,-99.491763
2018,7,17.962065,-68.2915
2018,1,35.948083,-5.277967
2018,1,41.090092,26.347378
2018,1,32.65921362,-115.5774445
2018,15,32.835794,15.372368
2018,6,36.993449,4.395623
2018,1,26.16075,-98.349042
2018,3,41.306959,26.519596
2018,1,26.150512,-98.33858
2018,2,36.20641,-0.440445
2018,1,25.886732,-97.518249
2018,1,27.122955,-98.0936
2018,1,31.9163189,-112.9357799
2018,1,29.60816059,-102.8835701
2018,1,45.08165567,19.19653095
2018,1,32.534377,-117.066199
2018,1,45.408498,15.391822
2018,1,37.595408,7.867908
2018,2,11.788676,99.791487
2018,1,35.944056,-4.296153
2018,1,27.499653,-99.50531
2018,3,32.662275,-116.223979
2018,1,27.778512,-98.724081
2018,2,32.70505562,-116.3577617
2018,1,40.954982,24.386152
2018,3,36.150154,-3.405538
2018,1,29.09715,-110.919818
2018,4,41.051762,25.4757
2018,1,45.565971,14.234048
2018,1,28.267376,-105.477996
2018,1,28.75604838,-100.5306054
2018,1,35.94335598,-2.447945545
2018,29,35.332202,-2.74651
2018,1,36.83739766,31.76585416
2018,1,32.5255301,-117.0095886
2018,14,36.12548285,-3.019234608
2018,7,37.101562,7.867572
2018,1,32.604487,-115.379027
2018,2,27.08845474,-98.22404448
2018,1,32.5255301,-117.0095886
2018,1,32.51119784,-116.0802256
2018,1,32.67309514,-115.3912517
2018,1,36.95735552,27.40616408
2018,9,36.20772327,-6.263366759
2018,1,27.33021052,-98.63074618
2018,22,29.82267777,-10.21048677
2018,1,51.09548781,1.120740942
2018,1,26.95508123,-97.8283847
2018,2,16.525452,-85.875321
2018,1,13.511667,2.125278
2018,1,25.88865382,-97.52318676
2018,1,19.02521579,-96.31746293
2018,1,20.023597,-99.217633
2018,1,26.097296,-98.261871
2018,10,38.84406233,8.408826454
2018,1,27.38181879,-99.44828538
2018,1,44.765773,20.467632
2018,5,8.271988,34.587575
2018,1,27.19401176,-98.27463405
2018,10,39.07623263,26.72989724
2018,2,27.14902079,63.2915497
2018,1,40.7068125,23.1915625
2018,1,44.52273879,19.15180003
2018,1,12.639167,-8.002778
2018,1,16.967643,7.985137
2018,1,40.73995457,23.01685516
2018,2,36.70946348,-4.221767057
2018,1,35.89654345,-5.300197427
2018,1,35.20397868,12.81264656
2018,1,27.03121382,-97.97017135
2018,5,37.596845,7.868337
2018,1,36.82913842,37.98702028
2018,1,11.316667,-5.666667
2018,3,11.316667,-5.666667
2018,1,28.33022071,-100.3013034
2018,1,19.9115315,-99.3637925
2018,5,38.64500751,44.20489425
2018,1,11.316667,-5.666667
2018,23,36.14620838,-6.010210827
2018,31,35.53795851,-2.934664072
2018,1,39.48863,20.280311
2018,1,31.9676831,-113.0133083
2018,2,10.4875,-5.653611
2018,1,12.05,0.366667
2018,1,12.19,1.39
2018,1,28.50710135,-100.3182198
2018,1,-12.78464779,45.10032603
2018,1,31.6745696,-110.9228378
2018,1,11.183333,-4.283333
2018,1,14.9609782,-91.8074586
2018,1,25.88121179,-97.47965987
2018,1,31.8127605,-109.7284151
2018,1,35.99690266,36.35989943
2018,2,12.05,0.366667
2018,2,12.05,0.366667
2018,1,44.5226623,19.15257251
2018,7,11.183333,-4.283333
2018,1,17.5969832,-92.8265503
2018,3,8.734584,44.788894
2018,3,22.396611,26.693147
2018,1,26.4088523,-99.0156554
2018,1,35.15796854,-2.905610944
2018,2,19.635357,27.103538
2018,1,26.910418,14.509939
2018,1,6.666667,-1.616667
2018,1,14.67658428,-92.14732112
2018,1,-9.311028,32.777507
2018,1,-14.395626,34.325744
2018,2,9.322813,42.787821
2018,1,12.25,-0.616667
2018,1,35.81896509,-4.128170864
2018,1,36.95154021,27.23974816
2018,54,35.783607,-3.071865
2018,2,12.953846,36.152215
2018,1,9.511606,44.059039
