,Date,delta_price_A,delta_price_B,delta_price_C,delta_price_D
0,2018-06-04,0.00778236837440088,0.004563042968803074,0.007087074843505961,0.004751418024457152
1,2018-06-05,0.0018941062976507448,0.0012354991007269204,-0.00029175598732020025,0.0007275809544034227
2,2018-06-06,0.002690496390787019,0.007222407749509618,0.0033189985528957267,0.008360552344008254
3,2018-06-07,0.00783205674430366,0.0027385775083755225,0.004543967494913919,-0.0001081434774651626
4,2018-06-08,-0.003957567737036138,-0.00010780149528472608,0.0011580227423902468,0.002956365197324157
5,2018-06-11,0.005743167655918292,0.004025139263252532,0.00596397735901136,0.0013300118528343612
6,2018-06-12,0.0021189376374161906,-0.00014320793469606592,-0.000431159501499528,0.0012924145698765253
7,2018-06-13,0.0005734257985642632,0.0005370851930765798,-0.0014019698666237757,-0.0031909291499995413
8,2018-06-14,-0.0006446935732317885,-0.0005367968874166587,0.0009359611635405201,0.0025177570856300233
9,2018-06-15,-0.008637697263979937,-0.0065155088415193825,-0.009746069263799678,-0.0057403434752492715
10,2018-06-18,-0.004013072942594333,-0.0029188064243160354,-0.0014526747459013762,-0.0020568216711141602
11,2018-06-19,-0.005408508672129894,-0.0034333645059618396,-0.0051646224332588244,-0.0038327958044026573
12,2018-06-20,0.00828463138686135,0.0035176826835900924,0.007531155659456398,0.0017059927404717528
13,2018-06-21,-0.001122083513747153,-0.0026741471426923622,-0.006930596276070778,-0.006268837169732773
14,2018-06-22,-0.0010870670016799187,-0.0006884629046557748,0.0029596500318529056,0.0018232206032387911
15,2018-06-25,-0.008053406253306236,-0.007868356101326284,-0.019636359052656056,-0.013612834447580702
16,2018-06-26,-0.006582749366714777,-0.003873974926430394,0.006280204244960106,0.0022140442804428322
17,2018-06-27,0.0022824140986740012,0.0048062702143107944,-0.0059456255640509,-0.008284241348654462
18,2018-06-28,-0.010908693494869203,-0.007740880851149893,-0.002563351727258745,0.005717501264878374
19,2018-06-29,0.01050906422599592,0.007028533578656909,0.009907274382929565,0.0014396396264366805
20,2018-07-02,-0.009591301807866028,-0.005919736082441982,-0.007044086454967854,0.00213796078641228
21,2018-07-03,0.012467013748394705,0.0034553814472193783,0.0043827924670477286,-0.0035311963987638795
22,2018-07-05,-0.0025652582285569142,0.0007325884384993818,0.001996812269955845,0.008157958837016446
23,2018-07-06,0.00356395618058049,0.009737180863021548,0.0064585180769363105,0.008458233410982716
24,2018-07-09,0.012484340677802113,0.007685596834187952,0.013897580305372815,0.009004360187870623
25,2018-07-10,0.0067257858640732615,0.0037775904230764644,0.005714238698010911,0.0035984167743450908
26,2018-07-11,-0.00452573536114752,-0.003476581359930508,-0.005609889502763848,-0.007314482050508749
27,2018-07-12,0.004077232633820803,0.0049992229715401385,0.003905746575159881,0.00906599052224908
28,2018-07-13,0.0031982679430725127,0.0017893569499534718,0.0038184365168926087,0.0007874897230819935
29,2018-07-16,0.001683569073015096,-0.0004644196879611956,0.0006459197495740012,-0.0008941664708203652
30,2018-07-17,-0.004184000633815004,0.003967176724825414,-0.0015420743299679655,0.004045267473978137
31,2018-07-18,0.007505286000268444,0.0009611227658521182,0.0059264896242736745,0.002103601090656535
32,2018-07-19,-0.0008910749992235172,-0.0015648446224978993,-0.0021424230675028606,-0.003771429614825541
33,2018-07-20,-0.0019264707069064219,-0.0009260490463078918,0.00014316539500639196,-0.0011428821428570554
34,2018-07-23,-0.0011437145247197847,-0.0001783299987105531,-0.001574246869409634,0.0018593357158729286
35,2018-07-24,0.008373579887339501,0.007595496391856996,0.0056260553689245546,0.00503202333909957
36,2018-07-25,-0.0016324993268302171,0.006405708567424359,0.00231619566125885,0.008522513859016853
37,2018-07-26,0.006647087357950214,-0.0009143369714516557,0.006434858526858687,-0.0023591210746411275
38,2018-07-27,0.0018007732287807496,-0.001020654025940057,-0.009572895680849148,-0.006776251242694315
39,2018-07-30,-0.007754330371819651,-0.007504773967537753,-0.0036379912326486626,-0.00522351265757339
40,2018-07-31,-0.0024866327133447764,0.0011714544274099472,0.003651274537403731,0.004929362174844278
41,2018-08-01,0.0026708450743979564,0.00039010000812379737,-0.0008916470345308683,-0.0016706430942963154
42,2018-08-02,-0.00770700033887627,0.0015949455641913524,-0.0034626815503036455,0.005447661047194069
43,2018-08-03,0.011238712306880496,0.00382198686986279,0.011355433996913118,0.004284822181124224
44,2018-08-06,0.0039288429686363075,0.004688662417137816,0.003081589062659498,0.003667168469664975
45,2018-08-07,0.006169792368682535,0.0035791432534175854,0.007203311841667444,0.003302318544355092
46,2018-08-08,0.0,-0.0003496590906031841,-0.001051703865225857,-0.0004201835053659227
47,2018-08-09,0.0004905006925348343,0.0002098457527213808,-7.015161037308332e-05,-0.0013661599253677085
48,2018-08-10,-0.007284653126763106,-0.006679032742318873,-0.008985076102744627,-0.0067001191044274285
49,2018-08-13,7.052037097797949e-05,0.0003520594265441331,-0.0020895170397462128,-0.0037434594753007816
50,2018-08-14,-0.0019401982504666689,3.522311324280591e-05,0.002519863817008492,0.006380673384317421
51,2018-08-15,-0.0019086949497630636,-0.005736016910411956,-0.00821299529048792,-0.0074674006509488
52,2018-08-16,0.003612114816698901,0.008848304382973245,0.011421976564506258,0.008091415317238237
53,2018-08-17,0.0015172653814524233,0.0018242667119758953,3.532608882662985e-05,0.003520383042458516
54,2018-08-20,0.0061305009325880655,0.0014357858344009394,0.005963944771216833,0.0021399530073664555
55,2018-08-21,0.0023811779365191686,0.00468579569645153,0.0022801971674748798,0.0023453039153955653
