,Date,delta_price_E,delta_price_F,delta_price_G,delta_price_H
0,2018-06-04,0.01310558171197745,0.008678546833569703,0.01287535591020539,0.009030901672140206
1,2018-06-05,0.008951276069501614,0.0045314272004458814,0.005778008664436005,0.0030980664985988627
2,2018-06-06,0.001774351711862626,0.004339599031016859,0.00040209109660106437,0.005833934015876013
3,2018-06-07,0.004970831791319058,0.0002273807506247538,-0.0033880556069142112,-0.008131513657844315
4,2018-06-08,-0.01296263581194277,-0.005968214868285619,-0.0021320080299855005,5.738118673201233e-05
5,2018-06-11,0.00403200850163002,0.002630323575299382,0.006351807624798827,0.002694347595799857
6,2018-06-12,0.004818977738729508,0.003764138331564779,0.003901813196590706,0.005259836367049608
7,2018-06-13,0.005423991050779112,0.006477267045454482,0.002686248177847737,-5.6844678873424164e-05
8,2018-06-14,0.0030096478247706795,0.004233939280986448,0.0060993390109751865,0.010123984354067302
9,2018-06-15,0.0016983977325935352,-0.003147995970251152,-0.002209626062322883,-0.0034910471793565575
10,2018-06-18,-0.008138744458097614,-0.0038347036165939648,-0.006643569322335183,-0.0027121483266391295
11,2018-06-19,-0.006951968575076377,-0.0034531617363089814,-0.0070309533893796,-0.0028328611898017
12,2018-06-20,0.014575049874905651,0.011020240156451373,0.016924684137511855,0.007102272727272727
13,2018-06-21,0.005033646343913136,-0.0005618103283921223,-0.00724596118582378,-0.008688253878702291
14,2018-06-22,-0.007878413188718245,-0.008488924879443433,-0.003877476303742816,-0.0022195662424623016
15,2018-06-25,-0.014577464301007436,-0.013494302134555214,-0.027935222074128692,-0.02253029798247735
16,2018-06-26,-0.009957957979806779,-0.00534517485645218,0.009186720560470069,0.004084799092163218
17,2018-06-27,0.0046511802325581615,0.0030047613891686286,-0.010270140931030416,-0.013599180012818875
18,2018-06-28,-0.01898147536490496,-0.010427456960163,-0.002594204335863535,0.008601932683719575
19,2018-06-29,0.014688478888898583,0.006694964040403657,0.013181982776875129,0.0026870260799459525
20,2018-07-02,-0.01145283447046215,-0.00040476521402680655,-0.010093325907584338,0.006699732247004981
21,2018-07-03,0.020054129265931076,0.0034711656301590673,0.005658083404940093,-0.01157407387313529
22,2018-07-05,-0.008878599173455053,-0.0022484808691002104,0.00234421841574694,0.012412148493931753
23,2018-07-06,0.008201983405223986,0.015485999254431917,0.011518452970347011,0.015556344154017505
24,2018-07-09,0.018462940634430023,0.00847838259706436,0.01630061849710985,0.00899721536929996
25,2018-07-10,0.005665080315769764,0.0027647972186378455,0.005061995020851152,0.0007337039253490795
26,2018-07-11,-0.008956799032068544,-0.0036574048860150096,-0.00514970269906681,-0.005075620147026113
27,2018-07-12,0.00721880322021044,0.013497486336011805,0.007280995325125243,0.01723165760380536
28,2018-07-13,0.012697517144991826,0.0024517273088035356,0.010560170425116602,0.000835807389665333
29,2018-07-16,0.0011144998793173354,0.00027794886974817683,-0.00039112601940968436,-0.002394120581292213
30,2018-07-17,-0.01319229100558717,0.0038899528295073893,-0.008944577120288025,0.006083329850336606
31,2018-07-18,0.016978756864726614,-0.0011624246165211594,0.011845701781620652,-0.0018861207769208463
32,2018-07-19,-0.005602052466661185,-0.0031035080569328604,-0.003121852962374526,-0.005001912049204561
33,2018-07-20,0.001896452487151035,0.0016121469420683043,-0.0001678447535237074,-0.00022339272872367715
34,2018-07-23,-0.006458011537078431,-0.0029416606864812404,-0.005872744790587832,0.0031844962516203675
35,2018-07-24,0.016530297457625874,0.01341574267098507,0.010239636259715482,0.004121213010929063
36,2018-07-25,-0.005677740903417893,0.004833781848385865,0.0040654656278174715,0.013976727443537536
37,2018-07-26,-0.00022180396324984113,-0.010987782632233543,-0.0026623496513196606,-0.01515153645082182
38,2018-07-27,0.004713352660826319,0.002155648929423572,-0.017852133005418307,-0.013496295248603884
39,2018-07-30,-0.019647866663194704,-0.019745199048537894,-0.013193668860917294,-0.014131258139039909
40,2018-07-31,-0.010302324767710317,-0.0033758567124481825,0.003156039406529214,0.007652309932886043
41,2018-08-01,0.006029567587663849,0.002935634761597738,0.007321810712431808,0.0037970983926964453
42,2018-08-02,-0.005597681750550382,0.011764768199204127,-0.0017604371915809376,0.01360661736694389
43,2018-08-03,0.02274407297276605,0.0019472070227214504,0.018715564770515843,0.003063571564995128
44,2018-08-06,0.0005004281008626812,0.006108090534912376,0.0036855203966325006,0.005886256043022375
45,2018-08-07,0.009390903168835582,0.00524309834711518,0.00845660374828635,0.003643612695393771
46,2018-08-08,-0.0005504596933814851,0.0011529977004118613,-0.0011033708789410272,0.0012101264926821609
47,2018-08-09,0.0019829302894586627,0.0015355031027528656,0.0032033635612874665,-0.0006043291813134188
48,2018-08-10,-0.006761645720155219,-0.00772054953401559,-0.009909728088029795,-0.007641141055661868
49,2018-08-13,0.0011069958365562654,0.00435930910297262,0.002224249382212016,-0.0011078938376269712
50,2018-08-14,0.0007186532309084814,-0.0019229218703071147,-0.0011096981494203532,0.006266581389385107
51,2018-08-15,-0.005524556806932125,-0.0059451831785713675,-0.010664286128915772,-0.01223478113366955
52,2018-08-16,0.003333181582500503,0.0022704784331544587,0.0075791940146866035,0.003291921068837183
53,2018-08-17,-0.00697633017564738,-0.003757152225063418,-0.006686337512195123,0.00022241129153113197
54,2018-08-20,0.005073816390059088,0.00011094226732785019,0.0040948896820577835,-0.0008896030196286661
55,2018-08-21,-0.00011089537642562932,0.0061553817317652176,0.00631287709497213,0.0036728103006034825
56,2018-08-22,-0.0014425709764044703,-0.0009369378203599917,-0.0021096152192968142,0.0038811099806990807
